incident_administrative_unit,incident_county,incident_acres_burned,incident_longitude,incident_latitude,incident_type,calfire_incident,mean_temperature,Population,incident_days,month_extinguished
CAL FIRE Lassen-Modoc Unit,Modoc,13153.0,-121.2144,41.1336,Unknown,True,10.939173,8651,14.0,8
CAL FIRE Siskiyou Unit / Oregon Dept. of Forestry / Oregon Office of The State Fire Marshal,Siskiyou,35302.0,-122.345,42.048,Unknown,True,23.286999,44049,19.0,8
CAL FIRE / USFS - Lassen National Forest,Shasta,32416.0,-121.562,40.72,Unknown,True,17.472176,181852,25.0,8
US Forest Service - Shasta Trinity National Forest,Shasta,6258.0,-122.805,41.141,Unknown,False,15.014105,181852,107.0,11
CAL FIRE Siskiyou Unit / USFS-Klamath National Forest,Siskiyou,5503.0,-122.127,41.682,Unknown,True,20.414948,44049,18.0,8
CAL FIRE Shasta-Trinity Unit,Shasta,25.0,29.24,40.0,Unknown,True,18.656166,181852,0.0,8
USFS - Sierra National Forest,Madera,10.0,18.4,37.0,Unknown,True,21.566856,157243,108.0,12
CAL FIRE Madera-Mariposa-Merced Unit,Madera,612.0,-119.6581,37.3433,Unknown,True,15.586234,157243,7.0,8
US Forest Service - Modoc National Forest ,Modoc,101.0,-121.266,41.507,Unknown,True,20.44875,8651,1.0,8
US Forest Service - Klamath National Forest,Siskiyou,0.0,-123.374,41.796,Unknown,False,24.504707,44049,3.0,8
CAL FIRE San Diego Unit,San Diego,20.0,-116.89516,32.59154,Unknown,True,25.841455,3289701,1.0,8
US Forest Service - Angeles National Forest,Los Angeles,190.0,-117.771,34.235,Unknown,False,19.703514,9936690,120.0,12
US Forest Service - Angeles National Forest,Los Angeles,274.0,-117.867,34.267,Unknown,False,18.832293,9936690,117.0,12
US Forest Service - Tahoe National Forest,Nevada,84.0,-120.0805,39.3918,Unknown,True,18.699957,102322,1.0,8
Kern County Fire / Sequoia National Forest ,Kern,4045.0,-118.4747,35.7206,Unknown,False,25.1665,906883,9.0,8
